Timestamp         Permalink                        Contents
2009-11-10 16:05  repeatedly/status/5603937530     それにしてもこの中途半端な融合が気持ち悪い． for i < len(p) && white(p[i]) { i++ } #golang
2009-11-10 16:07  barbolo/status/5603988086        @pbarreto @guiraldelli acho que compararam com C/C++ porque das compiladas estão entre as mais rápidas, porém menos produtivas #golang
2009-11-10 16:07  nicferrier/status/5604005050     each case has an implicit break.  #golang #drooling
2009-11-10 16:10  repeatedly/status/5604083936     Cに慣れてるとこの関数名が気持ち悪い． runtime・panicl #golang
2009-11-10 16:12  andrehjr/status/5604125861       #golang ? ;D
2009-11-10 16:14  Sixeight/status/5604183058       "Python Meets C++" かぁ #golang
2009-11-10 16:15  mrkov/status/5604189509          @nakanoazusa2 Meets Meets #golang。[業務連絡:停止の可能性もか]
2009-11-10 16:16  repeatedly/status/5604215905     GC関係のソースどこにあるの？ #golang
2009-11-10 16:18  repeatedly/status/5604261698     あーでも「int i;」じゃなくて「i int;」なのはいいね． #golang
2009-11-10 16:20  kevsmith/status/5604307000       "Although integers come in lots of sizes in Go, integer constants do not." PAIN #golang #notsomuch
2009-11-10 16:20  repeatedly/status/5604310571     return nil, false;とかはPython譲りか… #golang
2009-11-10 16:23  repeatedly/status/5604391624     この条件部分の書き方ががが？C if b, ok = p.getc(); !ok { return nil, p.err } #golang
2009-11-10 16:24  zeit_geist/status/5604416917     "Go": another erlang-inspired language to build systems software: http://golang.org/ -- this time with a GCC backend #golang
2009-11-10 16:25  tinyData/status/5604427092       Google 推出的自己的编程语言，名字叫  Go  , 好喜气的名字呀，官网： http://www.golang.org #GoLang #google
2009-11-10 16:25  leuriel/status/5604433323        A sign from go-d, that there is still hope for sanity in programming. ken, rob and russ have been hard at work: http://golang.org/ #golang
2009-11-10 16:26  fujin_/status/5604472015         Pretty sure the hivemind just sharted on #golang
2009-11-10 16:27  kartar/status/5604493539         @fujin_ They seem to have double-spiked the Kool Aid #golang
2009-11-10 16:28  quelgar/status/5604510585        It certainly looks like a huge improvement on C. But imperative programming without exceptions? Bleh... #golang
2009-11-10 16:28  repeatedly/status/5604511525     しかし"・"を関数名に使うのはあまり関心できないなｗｗ #golang
2009-11-10 16:30  repeatedly/status/5604567341     処理系ソースにstruct Mとかstruct Gとかなめてるのか？ #golang
2009-11-10 16:34  plagosus/status/5604652885       #GoLang deluje poprilicno cool #Google #Go ;) http://golang.org
2009-11-10 16:34  repeatedly/status/5604661409     go文でgoroutineの開始か #golang
2009-11-10 16:38  joao_neto/status/5604760729      Go is a Google Programming language? http://golang.org/ #golang
2009-11-10 16:38  illness072/status/5604762182     なんつうか、syntax的には特筆するもののない、ありふれた言語だね #golang
2009-11-10 16:38  masami256/status/5604768639      gcとgccgoなんてのがあるの。 #golang
2009-11-10 16:39  metacloud/status/5604783698      Why would I want to learn Go language via @HunterClarke #Golang, Maybe because it's from google.
2009-11-10 16:41  masami256/status/5604823685      gcはMercurial、gccgoはsvnを使ってソースを落とせと。どっちも入れてないお。 #golang
2009-11-10 16:41  omo2009/status/5604825138        これは前にでてきた java もどきとは全然レベルがちがいそうだなー。c++ is dead の夢を見たい感じ・・・。 #golang
2009-11-10 16:41  repeatedly/status/5604831676     expパッケージにevalがあるや． #golang
2009-11-10 16:43  repeatedly/status/5604877681     mgc0.cってのがGCのソースっぽいけど，step 0になってるぞ．他のstepはどうした？ #golang
2009-11-10 16:43  masami256/status/5604880923      ソースはwebでも見れる http://is.gd/4Saev #golang
2009-11-10 16:45  heisenthought/status/5604926167  Sweet, #golang bundles with a json-template inspired template library. #loveit
2009-11-10 16:45  spodzone/status/5604934321       @davepdotorg Ugliest attempt at a new language I've seen for a while. I thought we'd outgrown syntax-fixation and old C paradigms #golang
2009-11-10 16:46  iturgeon/status/5604964692       Google's programming language Go http://bit.ly/wppYj http://golang.org/ #golang
2009-11-10 16:49  onyxfish/status/5605024930       3/4ths through the #golang presentation (http://bit.ly/2MnE23), was briefly impressed with ideas but the syntax is impossibly dated.
2009-11-10 16:49  repeatedly/status/5605027578     cgoっていう拡張子のCとgoが混じったソースががが  #golang
2009-11-10 16:50  dbalatero/status/5605049325      farttttttttttt #golang
2009-11-10 16:51  repeatedly/status/5605075905     mgc0.cのコメントにこんな一文が…「NOT INTENDED FOR PRODUCTION USE.」 #golang
2009-11-10 16:52  masami256/status/5605116000      #include <u.h>とか見たことあるなと思ってたら、u.hのコメントに「Plan 9 from User Space include/u.h」って書いてあった #golang
2009-11-10 16:54  repeatedly/status/5605147416     おそらく「Python遅いし静的型付けじゃない．C++は静的型付けでコンパイルできて速いけど書きにくい．じゃあくっつけちゃえばいっか」って感じで生まれた言語な気がする． #golang
2009-11-10 16:59  andrehjr/status/5605288249       tentando dar build no #golang , e me deparo com um 'Segmentation fault' ? :/
2009-11-10 17:02  repeatedly/status/5605367303     あれ？参照カウントなくないか？ #golang
2009-11-10 17:05  bradfitz/status/5605439170       Yay open sourcing of Go! http://golang.org/ Lot of good stuff there. #go #golang
2009-11-10 17:07  DSelitskiy/status/5605481102     RT @bradfitz Yay open sourcing of Go! http://golang.org/ Lot of good stuff there. #go #golang //interesting...
2009-11-10 17:07  repeatedly/status/5605485091     GoのGCは何の面白みもないM&Sでした，めでたしめでたし． #golang
2009-11-10 17:08  repeatedly/status/5605516577     step 0でプロダクションレベルでは使えないと書いてるし，今後強化するんだろうけど，現段階では何の魅力もないということで，Goについてはこれで終わり．後は誰か興味を持った人が面白い機能があれば紹介してくれるでしょう． #golang
2009-11-10 17:10  rane_hs/status/5605573892        TLがgo言語とかいう面白そうなもので埋まっている。.#golang RT @Dubhead: The Go Programming Language http://ff.im/-bh6a6 [VC6爆発しろ！]
2009-11-10 17:10  lucasmezencio/status/5605575302  Todo mundo falando de apagão. Vou falar mesmo é da #golang! Linguagem de programação lançada pelo @Google! http://golang.org/
2009-11-10 17:13  repeatedly/status/5605639614     正規表現/リフレクション/単体テスト/ネットワーク関係/コンテナなどなど今必要そうな機能はそれなりに入ってる感じ．ランタイム弱いけど，まぁ最低限使えるから公開した，って感じ．のちのちexpにあるevalとかも入るんだろう． #golang
2009-11-10 17:14  naderman/status/5605664952       RT @janl Go func yourself. #golang
2009-11-10 17:14  amandinhakee/status/5605671344   ♺ @lucasmezencio Todo mundo falando de apagão. Vou falar é da #golang! Linguagem de programação lançada pelo @Google! http://golang.org/
2009-11-10 17:17  repeatedly/status/5605736921     あえて言えばconcurrentな部分だけは気になる．関数型方面だとあまり気にならないけど，Python & C++な言語でどうすっきり書けるのか．新しいモデルが用意されてるのか，他の言語よりも書きやすいだけなのか，どんな感じかなと． #golang
2009-11-10 17:21  repeatedly/status/5605835484     ああ，テンプレートエンジンも標準ライブラリに入ってるのか．rpcも入ってるし，システムと良いながらかなり高レイヤーも考えてるのね #golang
2009-11-10 17:24  peterc/status/5605913682         Since the Google Go language is hosted at golang.org, perhaps "golang" is a good term to use for tags, etc. #golang
2009-11-10 17:27  shahabshahabs/status/5605977633  Techfolk har nå muligheten til å lære seg et helt nytt programmeringspråk... av google! http://golang.org/doc/go_tutorial.html #golang
2009-11-10 17:32  Masahito/status/5606092730       Windowsのバイナリはまだないのね。#golang > Installing Go http://golang.org/doc/install.html
2009-11-10 17:45  chanezon/status/5606405556       Google is hiring a developer program engineer for the Go language http://bit.ly/1fOQsk #jobs #google #golang
2009-11-10 17:45  btbytes/status/5606419556        Go - http://golang.org a new system programming language by Google #golang
2009-11-10 17:51  mmayo/status/5606567186          Plan 9: Not dead yet!  #golang
2009-11-10 17:53  mmalex/status/5606610937         #golang http://golang.org->yum!rob pike's unique design style always appeals. by chance was reading http://bit.ly/qqCN yesterday;great team!
2009-11-10 17:53  qaramazov/status/5606619310      @mlinksva What are Go's advantages over Objective-C, D, etc.? The FAQ is rather vague. #golang
2009-11-10 17:55  chanezon/status/5606664629       already 109 members in http://bit.ly/zIqnu Google group #golang
2009-11-10 17:58  mdrcode/status/5606732328        RT @chanezon: Google is hiring a developer program engineer for the Go language http://bit.ly/1fOQsk #jobs #google #golang
2009-11-10 17:58  vinoaj/status/5606733199         RT @chanezon: Google is hiring a developer program engineer for the Go language http://bit.ly/1fOQsk #jobs #google #golang
2009-11-10 18:00  golangnuts/status/5606771876     Hey! Ho! Let's Go! Open Sourcing the Go programming language http://bit.ly/1NxkxC #golang #developer #google
2009-11-10 18:01  kallistec/status/5606821738      Obligatory #golang tweet. Apparently std style enforced by gofmt is tabs not spaces, but the examples use 2 or 4 spaces. :set expandtab
2009-11-10 18:01  franknaval/status/5606824503     RT chanezon already 109 members in http://bit.ly/zIqnu Google group #golang
2009-11-10 18:01  kazunori_279/status/5606812647   RT @mdrcode: RT @chanezon: Google is hiring a developer program engineer for the Go language http://bit.ly/1fOQsk #jobs #google #golang
2009-11-10 18:09  jpanzer/status/5607015490        Go Go! http://golang.org/  #golang
2009-11-10 18:09  zii/status/5607021724            looking at the build files for #golang. cool to see they use flex/bison like we do in compilers class. ah, the possibilities!
2009-11-10 18:21  mlinksva/status/5607295255       Way to pick a google-able name, google. #golang
2009-11-10 18:22  arun/status/5607332605           I'm cup-half-full retweeting an old friend, mainly since new languages are irresistible RT @jpanzer Go Go! http://golang.org/ #golang
2009-11-10 18:25  teddyjas/status/5607405159       GO: first impression is Yucky!!! coders r basically lazy, the language should be short and efficient for us to code #golang
2009-11-10 18:26  chanezon/status/5607433473       RT @jpanzer: Go Go! http://golang.org/  #golang
2009-11-10 18:29  annemich928/status/5607491619    Go nuts with Go! Go new open source programming language from #Google #golang http://golang.org
2009-11-10 18:29  jmhodges/status/5607508600       #golang totally ganked the old Pike newsqueak (not the one that is out today) concurrency model and syntax like Sawzall before it. Awesome!
2009-11-10 18:32  jmhodges/status/5607565965       Shit guys, the channel concurrency model was most of the reason I was going to write blink. Fuck me, maybe I'll do it on top of #golang.
2009-11-10 18:32  annemich928/status/5607581302    Go nuts with Go! Go new open source programming language from #Google #golang http://golang.org http://ff.im/bhiop
2009-11-10 18:34  leonelnc/status/5607626362       let's goooooo   http://golang.org, #golang
2009-11-10 18:37  mosaic_school/status/5607702819  GOing to sleep after absorbing http://golang.org - it's about time (~3.30am local) #golang
2009-11-10 18:43  dchest/status/5607840821         Функции могут возвращать больше 1 значения, например f, err = file.Open(...). #golang
2009-11-10 18:51  sagasw/status/5608022911         #golang 版本控制用的是水银,要学学
2009-11-10 18:53  im_module/status/5608067372      @stuartsierra Is there shared-nothing #concurrency in Google's Go ? #golang
2009-11-10 18:54  googollee/status/5608084026      似乎Go的语法语义完全是披着大括号的Python。没有template的话,编译时会对静态interface做优化么? #golang
2009-11-10 18:55  zii/status/5608122179            roommate is playing modern warfare 2. guess I'll poke at #golang some more.
2009-11-10 19:00  mohri/status/5608234087          新言語のリリースが電撃バップ！ いかすぜグーグル http://bit.ly/UQIYS #golang
2009-11-10 19:05  sagasw/status/5608340673         #golang @googollee 对于lua来说,返回list(也就是table)和返回多值是不一样的,我还是先学习lua吧,等go更熟一点
2009-11-10 19:07  nogajun/status/5608389339        Hey! Ho! Let's Go! RT: @mohri: 新言語のリリースが電撃バップ！ いかすぜグーグル http://bit.ly/UQIYS #golang
2009-11-10 19:07  googollee/status/5608390572      可能lua的list和python的list不一样吧。我说的list就是个有序表,然后多值的时候就是按序赋值 @sagasw #golang @googollee 对于lua来说,返回list(也就是table)和返回多值是不一样的,我还是先学习lua吧,等go更熟一点
2009-11-10 19:07  einsidan/status/5608400503       Interesting stuff from Google, once again... http://golang.org #golang
2009-11-10 19:10  Rob_Russell/status/5608467218    okay, my site can wait, got drawn in by Go #golang
2009-11-10 19:11  sagasw/status/5608492980         #golang @googollee lua中的table是唯一的复杂数据结构,综合了list,map的特性,非常简洁轻巧,但是功能也超级强大,go作为一个语言想跟lua一样成熟估计还要几年
2009-11-10 19:15  miura1729/status/5608588088      Language Design FAQ 面白い http://golang.org/doc/go_lang_faq.html #golang
2009-11-10 19:16  miura1729/status/5608613521      でもやっぱりなぜCSPか判らない。分散システムをターゲットにしているとは思えないし。 #golang
2009-11-10 19:19  masami256/status/5608670024      .cファイルのローカル変数名（1文字の変数名とか）を見てると、懐かしい感じがしてくる #golang
2009-11-10 19:21  masami256/status/5608710296      このコーディングスタイルはK&R第2版準拠だと思う。 #golang
2009-11-10 19:25  sagasw/status/5608811193         #golang 不知道可不可以通过gdb来调试?
2009-11-10 19:28  cyglor/status/5608870219         building google's #golang on osx: failed at network test: gopack grc _test/net.a --- FAIL: net.TestDialError #4: dial tcp no-such-name:80
2009-11-10 19:31  thepose/status/5608944665        mmm...  #golang logo: http://bit.ly/1r0q5g #plan9 logo: http://bit.ly/1OG13Y code reuse -> logo reuse ? :P
2009-11-10 19:31  brianjlandau/status/5608958235   RT @janl: Go func yourself. #golang - Count me in as interested in http://golang.org/
2009-11-10 19:34  himoji/status/5609024097         先頭が大文字だとパッケージの外から見えるようになる、って仕様が気持ち悪い。 #golang
2009-11-10 19:38  netmask/status/5609110325        insisto que #golang me recuerda a perl por lopoco expresivo :P
2009-11-10 19:49  philcrissman/status/5609349237   Compiled go and went through a few of the examples in the tutorial. Neat, but now I don't really have anything to *use* it for. #golang
2009-11-10 19:55  Rob_Russell/status/5609491599    "Go has pointers but not pointer arithmetic" interesting choice http://bit.ly/1dWsMV #golang
2009-11-10 19:57  nicferrier/status/5609528482     ran my first program #golang
2009-11-10 20:05  chad_walters/status/5609694601   @akumar @spullara: is it a good idea to have a GC'd systems language? Not sure how to get RAII (or even finally) behavior with Go. #golang
2009-11-10 20:13  ryankanno/status/5609873379      @jlnoblezada Nopes... it's a normal workday for me tomorrows. Quiet night reading about #golang tonight. :D
2009-11-10 20:16  Rob_Russell/status/5609940192    got helloworld.go built. that was easy #golang
2009-11-10 20:22  repeatedly/status/5610045611     今GCの詳細眺めてたけど，mlookupの返り値でもし参照の状態がRefNoneの場合にRefSomeに書き換えてるんだけど，スイープ時にはRefNoneだったらfreeしてる．これどうなってるの？ #golang
2009-11-10 20:24  repeatedly/status/5610101415     というかさぁRefFreeとかRefStackとかあるんだから，ちゃんとそれ使ってrefに値を代入しようよ．代入は数値で比較はRefFreeとか読みにくすぎる… #golang
2009-11-10 20:29  repeatedly/status/5610198147     ああああ勘違い．RefSome代入しないとダメだ．そうじゃないとMarkにならないじゃないか #golang
2009-11-10 20:33  mohri/status/5610276694          The Go Programming Languageのマスコットの名前はなんていうんだろう？ #golang *Tw*
2009-11-10 20:36  mohri/status/5610335686          "golangnuts" ってのはこいつの名前じゃないよな http://bit.ly/qkdbK #golang
2009-11-10 20:41  zachberry/status/5610444366      @iturgeon looking at #golang - did you see in the tutorial that { and } for ifs, switches and fors are manditory?!!!! :O
2009-11-10 20:48  jntrnr/status/5610578998         First impressions of #golang - fast compiles, annoying sigils, cool goroutines, cool channels, bizarre syntax (iota?). Letting it sink in.
2009-11-10 20:52  codedread/status/5610637344      Downloaded, built, configured compilers. Built HelloWorld. Asked a few questions on IRC.  Wrote a Makefile. That's enough for now. #golang
2009-11-10 21:08  repeatedly/status/5610960403     とりあえず小さいオブジェクトはMCacheを使ってスタックとして確保して，32kb以上のオブジェクトはMHeapを使っている．でMCacheはRefStackとマークしていて，GC時は完全無視している． #golang
2009-11-10 21:12  ghoulr/status/5611019512         今天的twitter被Google的 #golang 淹没了。。。
2009-11-10 21:14  repeatedly/status/5611067874     マーク処理がグローバルな状態のリンクリストからスタックを取り出してそれぞれをスキャンしているのが少し引っ掛かる． #golang
2009-11-10 21:17  repeatedly/status/5611108752     Goの環境が常にスタックを監視できる状態ということは，ある意味rootは全部Goが持ってるわけで． #golang
2009-11-10 21:19  repeatedly/status/5611143881     あーやっぱりちゃんとソース読んだ方がいいかもしれない． > GC #golang
2009-11-10 21:26  repeatedly/status/5611271863     いやでもやっぱりscanblockで，スタックサイズをポインタの大きさで割って，それぞれをmlookupしてるわけだけど，このスタック上にポインタとそれと同じ値を持った整数があると，mlookup側では判断できないはず… #golang
2009-11-10 21:38  repeatedly/status/5611482306     あーでも行けそうかも．mlookupで同じ値でもRefSomeならそもそもスルーされるし，MHeapがポインタっぽい値を拒否するようにしていればPreciseになる．と思うんだけど，MHeapがそうなってないような．あのMask辺りがそれを考慮してるのかな？ #golang
2009-11-10 21:41  repeatedly/status/5611539166     これ以上は後々ソース落としてやるか，エロい人の解説を待つ． #golang
2009-11-10 21:41  repeatedly/status/5611529261     これ以上は実際にヒープの状態を考えながらじゃないと厳しいかもしれない．要はMHeapMap_GetMaybeの中のi1が有効でi2も有効となるような整数値をGoのスタック上に配置することが出来るのか？という問題(かも？)． Preciseか否か． #golang
2009-11-10 21:45  zakkas783/status/5611597250      むー。C++やってるとそれなりに取っ付けそう。http://bit.ly/ZzjGv #golang
2009-11-10 21:46  repeatedly/status/5611613219     とりあえず言えること．Goのソースはあまり綺麗じゃない． #golang
2009-11-10 21:49  damncabbage/status/5611674150    Adding #golang to the to-do list. Goroutines look interesting. :D http://golang.org
2009-11-10 21:51  arnaudsj/status/5611697136       it's interesting how one key goal of #golang is to compile millions of lines of code FAST (e.g in seconds, instead of hours/days)
2009-11-10 21:52  leuriel/status/5611715113        Already picked my first #Go project: http://repo.cat-v.org/goblin/ Contributions welcome. And hope to help @anantn with go9,9P in go #golang
2009-11-10 21:53  repeatedly/status/5611730722     if (0)とかif (1)とかコードに入れるなよ… #golang
2009-11-10 21:55  stuffonfire/status/5611763268    nw, ew := file.Stdout.Write(buf[0:nr]); nw != nr #golang what the FUUUUUU
2009-11-10 21:59  machu/status/5611828239          ごめんなさい RT @repeatedly: if (0)とかif (1)とかコードに入れるなよ… #golang
2009-11-10 22:03  BobbyDee/status/5611899250       Compiled Go code runs at close to the speed of C, on the web! #this_could_be_big #golang.org
2009-11-10 22:06  t_okada/status/5611952235        とりあえず Language Design FAQ あたりから読むか。 http://golang.org/doc/go_lang_faq.html #golang
2009-11-10 22:14  aaront/status/5612076021         Tomorrow, I'll convert one of my old C programs to Go, just for fun. #golang #go #google
2009-11-10 22:21  kkongling/status/5612190042      针对SMP的系统级语言，看来 #golang 也是出来解决并发问题的啊
2009-11-10 22:34  jboner/status/5612378439         RT @bradfitz: Yay open sourcing of Go! http://golang.org/ Lot of good stuff there. #go #golang
2009-11-10 22:34  jsilland/status/5612382689       It saddens me a bit that people think we need new languages. I think we really need more smart developers instead - wait and see! #golang
2009-11-10 22:40  repeatedly/status/5612477696     なんでこういう記事ではいつもD言語を無視するのか．比べるとそれほど斬新なことはしていない． http://www.atmarkit.co.jp/news/200911/11/go.html #golang
2009-11-10 23:01  swolfe/status/5612768746         So many interesting languages are emerging, too many to learn. #Erlang, #Clojure, #golang, #factor ... I want to learn them all!
2009-11-10 23:02  Rob_Russell/status/5612780959    cool feature in #golang - "defer" http://bit.ly/1WRcND for that cleanup you have to do at the end of the current function
2009-11-10 23:06  Equix3n/status/5612847691        Google launches its own programming language-"GO" http://golang.org/ http://alturl.com/3m8g http://alturl.com/z5fs #GO #GoogleGO #golang
2009-11-10 23:15  shanehanna/status/5612974800     http://golang.org Mental naming conventions in the examples. Embrace the underscore, you know it makes sense. #golang
2009-11-10 23:20  gnuowned/status/5613044842       sigue compilando el chingado Go #golang, eso me pasa por hacerlo en mi #aaone jojojo
2009-11-10 23:23  Joolz/status/5613087829          So #golang is out - looks.... interesting. Not quite sure what it's really that useful for yet.
2009-11-10 23:24  gnuowned/status/5613098211       --- cd ../test
0 known bugs; 0 unexpected bugs
Go compilado #golang
2009-11-10 23:35  plus7/status/5613250643           また検索に引っかからない名前を… #golang
2009-11-10 23:37  plus7/status/5613286519           マスコットキャラがGlendaのキモカワいさとDのマスコットのウザさを合わせた感じだな #golang #dlang #plan9
2009-11-10 23:41  repeatedly/status/5613337655      とりあえずはてなキーワード作ったので，後は誰か編集よろ． http://d.hatena.ne.jp/keyword/Go #golang
2009-11-10 23:44  pullus/status/5613376583          こういう色合いだったのかこいつ RT @syuu1228: このキャラ、カラーで大きいと余計にきもいなーRT @repeatedly: とりあえずはてなキーワード作ったので，後は誰か編集よろ． http://d.hatena.ne.jp/keywo... #golang
2009-11-10 23:44  repeatedly/status/5613375905      Goという名前で，ogleというデバッガが標準にあるという． #golang
2009-11-10 23:44  syuu1228/status/5613368268        このキャラ、カラーで大きいと余計にきもいなーRT @repeatedly: とりあえずはてなキーワード作ったので，後は誰か編集よろ． http://d.hatena.ne.jp/keyword/Go #golang
2009-11-10 23:52  ppalludan/status/5613474806       Google's new programming language Go looks promissing. But the naming is just as bad as .Net, why cant they also invent new names? #golang
2009-11-10 23:52  kashopi/status/5613476157         @Bendem #golang es como una mezcla entre C++ y Pascal ¿no?
2009-11-10 23:54  sudheera/status/5613506553        checking out "GO" http://golang.org/ [youtube] http://bit.ly/4k2zfi #google #golang
2009-11-10 23:57  donbox/status/5613540757          Anyone spent time with http://golang.org/ yet? #golang
2009-11-11 00:18  arnegleditsch/status/5613820698   How long till #golang runs on #parrot?  (And: "goroutines"?  *groan*)
2009-11-11 00:25  _antonioguerra/status/5613909848  New language to learn? http://golang.org/ #google #golang
2009-11-11 00:25  PeterAzP/status/5613908740        Google releases new open source programming language http://golang.org/ #google #golang
2009-11-11 00:29  alexconrad/status/5613963714      A new fast and dynamic programming language by Google: "Go" #golang http://bit.ly/1gF6kJ
2009-11-11 00:31  elpargo/status/5613981611         Just read the #golang docs and I like it. Seems like a modern C and what C++, objective C, and D should be. that is simple yet powerful.
2009-11-11 00:31  ashmind/status/5613978447         Google Go. Finally a new language, but too low-level, and syntax is ugly. What I have seen of D is much better, not to mention Ruby. #golang
2009-11-11 00:33  elpargo/status/5614007280         Am I the only #python programmer that likes #golang ideas? It steals many core python features yet looks nothing like it syntactically.
2009-11-11 00:35  repeatedly/status/5614037036      つ #golang RT @bojovs: はてブによるgolang.orgへの食いつきはすごいけど、Twitter上で#goを付けて言及してる人が見受けられない件
2009-11-11 00:38  USAGI_WRP/status/5614069395       #golang てハッシュタグ付けて日本語でしゃべくるのもアレかなーと思ってこそこそ。まあ、"Hello, 世界"だしいっかー。
2009-11-11 00:43  elpargo/status/5614141411         Who will have thought that reading the #golang docs will show me this excellent templating engine http://bit.ly/tOotm I'll have to try it!
2009-11-11 00:43  bartfromnl/status/5614136065      I think Google Language is cool, I like the syntax, but it's a bit unclear what's it all about, #golang http://www.golang.org
2009-11-11 00:51  MagicHerb/status/5614243944       google go rox http://bit.ly/2o2ywI #golang
2009-11-11 00:54  alblue/status/5614272111          Go looks interesting. Suspect exceptions missing will come back to haunt them, as will the global err number; further thoughts later #golang
2009-11-11 01:12  ksetyadi/status/5614514759        Go Programming Language is not for Windows, I think.. #golang
2009-11-11 01:22  flowolf/status/5614636372         new programming language from #google: #go. first impression is nice. #golang #dev http://golang.org
2009-11-11 01:26  pbarreto/status/5614698293        @barbolo @guiraldelli @efregni Pois é, estamos falando de #golang mesmo -- ou estávamos, antes do #apagao deixar 10-12 estados no escuro
2009-11-11 01:32  pbarreto/status/5614776315        @guiraldelli Pelo menos #golang não tem #dangling_else na sintaxe.
2009-11-11 01:41  dikopat/status/5614890109         #golang ? ga pernah denger tuh
2009-11-11 01:41  mosaic_school/status/5614890636   Compiled #golang on linux-amd64... 'HelloWorld' runs. Let's see if can get a NeHe OpenGL lesson ported (when I got some free time, weekend?)
2009-11-11 01:42  bmccoelho/status/5614893197       #google launched #golang: "...builds feel instantaneous; (...) And the compiled code runs close to the speed of C" - http://bit.ly/1IaD0e
2009-11-11 01:53  nadavwr/status/5615035581         Go:  Rob Pike, Ken Thompson, Russ Cox, and a Glenda clone. Didn't know they all worked for Google. Serious Business. #golang
2009-11-11 02:01  arbovm/status/5615147022          a quite interesting looking system #programming language directly from google http://bit.ly/2Xo0ur #go #golang
2009-11-11 02:09  neilgall/status/5615241229        #golang has interesting ideas but if it doesn't integrate with the C runtime it's a non-starter as a systems language.
2009-11-11 02:17  lempiji/status/5615352397         型宣言が後置で、コードフォーマッタがあって、SwitchがIf-Elseのchainで…こいつはVBか！#golang
2009-11-11 02:22  barbolo/status/5615420923         @guiraldelli @pbarreto @efregni @rfiorelli é o Google, eles devem ter pensado em tudo pra fazer a GO =P #golang
2009-11-11 02:27  pbarreto/status/5615489849        @barbolo @guiraldelli Ué, mas #golang não tem classes? Não dá pra programar #OO então?
2009-11-11 02:29  dankogai/status/5615516607        http://golang.org/ だし、#golang でおちつくんじゃね?で、それを「ゴラン」と平板読みされてワシはハァ?となると<@koizuka 簡単に呼ぶのはどうすればいいんだろう。Googleってつけるのはあんまり良くない気はするが "Go言語"っていっていいのかな
2009-11-11 02:32  craigwebster/status/5615550040    Go. Because what we really need is another C++. #golang
2009-11-11 02:34  Gittit/status/5615580592          #golang New programming language by google. I'm excited. http://golang.org/
2009-11-11 02:37  pbarreto/status/5615627758        @rifiorelli @efregni @barbolo @guiraldelli Eca! Parece que #golang nem é livre de contexto! Vejam a definição de ConstSpec na gramática.
2009-11-11 02:41  pbarreto/status/5615672622        @barbolo @guiraldelli Leia o resto. Interfaces em #golang implementam genericidade, não classes.
